,StockCode,Description,UnitPrice
0,10002,INFLATABLE POLITICAL GLOBE ,1.086619718309859
1,10080,GROOVY CACTUS INFLATABLE,0.4109090909090909
2,10080,check,0.0
3,10120,DOGGY RUBBER,0.21
4,10125,MINI FUNKY DESIGN TAPES,0.8596808510638292
5,10133,COLOURING PENCILS BROWN TUBE,0.6490452261306535
6,10133,damaged,0.0
7,10135,COLOURING PENCILS BROWN TUBE,1.4101666666666677
8,11001,ASSTD DESIGN RACING CAR PEN,1.878166666666664
9,15030,FAN BLACK FRAME ,0.29
10,15034,PAPER POCKET TRAVELING FAN ,0.3664084507042253
11,15036,ASSORTED COLOURS SILK FAN,1.0654493307839372
12,15039,SANDALWOOD FAN,1.23174496644295
13,16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.1361428571428571
14,16008,check,0.0
15,16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12
16,16011,ANIMAL STICKERS,0.21000000000000013
17,16012,FOOD/DRINK SPONGE STICKERS,0.21
18,16014,SMALL CHINESE STYLE SCISSOR,0.4014814814814819
19,16015,MEDIUM CHINESE STYLE SCISSOR,0.48833333333333334
20,16016,LARGE CHINESE STYLE SCISSOR,0.8460000000000009
21,16033,MINI HIGHLIGHTER PENS,0.12
22,16043,POP ART PUSH DOWN RUBBER ,0.12
23,16045,POPART WOODEN PENCILS ASST,0.043478260869565244
24,16045,check,0.0
25,16046,TEATIME PEN CASE & PENS,0.8499999999999998
26,16048,TEATIME ROUND PENCIL SHARPENER ,0.32507246376811577
27,16049,TEATIME GEL PENS ASST,0.24000000000000005
28,16052,TEATIME PUSH DOWN RUBBER,0.5892307692307693
29,16054,POPART RECT PENCIL SHARPENER ASST,0.12882352941176478
30,16216,LETTER SHAPE PENCIL SHARPENER,0.1524444444444442
31,16218,CARTOON  PENCIL SHARPENERS,0.26984375000000016
32,16219,HOUSE SHAPE PENCIL SHARPENER,0.5126732673267322
33,16225,RATTLE SNAKE EGGS,1.4593269230769221
34,16235,RECYCLED PENCIL WITH RABBIT ERASER,0.315235294117648
35,16236,KITTY PENCIL ERASERS,0.3045588235294126
36,16237,SLEEPING CAT ERASERS,0.2972818791946306
37,16238,PARTY TIME PENCIL ERASERS,0.31088235294117733
38,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.3088235294117645
39,16259,PIECE OF CAMO STATIONERY SET,0.09625000000000004
40,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29
41,17003,BROCADE RING PURSE ,1.0639591836734639
42,17021,NAMASTE SWAGAT INCENSE,0.2947368421052634
43,17038,PORCELAIN BUDAH INCENSE HOLDER,0.41999999999999993
44,17096,ASSORTED LAQUERED INCENSE HOLDERS,0.30249999999999994
45,17174,ASSTD RASTA KEY-CHAINS,0.42
46,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.2748387096774193
47,20615,BLUE POLKADOT PASSPORT COVER,2.5085567010309253
48,20616,CHERRY BLOSSOM PASSPORT COVER,1.8074647887323934
49,20617,FIRST CLASS PASSPORT COVER ,2.2518604651162777
50,20618,QUEEN OF THE SKIES PASSPORT COVER ,2.027894736842103
51,20619,TROPICAL PASSPORT COVER ,2.136767676767674
52,20622,VIP PASSPORT COVER ,2.3752941176470594
53,20622,VIPPASSPORT COVER ,2.4125714285714275
54,20652,BLUE POLKADOT LUGGAGE TAG ,1.5261445783132517
55,20652,check,0.0
56,20653,CHERRY BLOSSOM LUGGAGE TAG,1.4815151515151512
57,20654,FIRST CLASS LUGGAGE TAG ,1.3849999999999998
58,20655,QUEEN OF SKIES LUGGAGE TAG,1.7224242424242422
59,20657,TROPICAL LUGGAGE TAG,1.7209090909090912
60,20658,RED RETROSPOT LUGGAGE TAG,1.7430275229357801
61,20659,ECONOMY LUGGAGE TAG,1.6338461538461526
62,20661,BLUE POLKADOT PURSE ,3.3978787878787897
63,20662,FIRST CLASS HOLIDAY PURSE ,2.8790000000000004
64,20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.6930000000000005
65,20664,TROPICAL HOLIDAY PURSE ,2.5416666666666674
66,20665,RED RETROSPOT PURSE ,4.068333333333328
67,20665,adjustment,0.0
68,20665,dotcom,0.0
69,20666,ECONOMY HOLIDAY PURSE,1.71235294117647
70,20667,CHERRY BLOSSOM PURSE,2.4906250000000005
71,20668,DISCO BALL CHRISTMAS DECORATION,0.16364864864864903
72,20669,RED HEART LUGGAGE TAG,1.6915841584158413
73,20670,VIP HOLIDAY PURSE,3.243636363636364
74,20671,BLUE TEATIME PRINT BOWL ,1.25
75,20674,GREEN POLKADOT BOWL,1.5588038277511957
76,20675,BLUE POLKADOT BOWL,1.5838837920489268
77,20676,RED RETROSPOT BOWL,1.6250980392156866
78,20677,PINK POLKADOT BOWL,1.6466176470588219
79,20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65
80,20679,EDWARDIAN PARASOL RED,6.994090909090921
81,20681,MIA,0.0
82,20681,PINK POLKADOT CHILDRENS UMBRELLA,4.16673469387755
83,20682,RED RETROSPOT CHILDRENS UMBRELLA,3.9481854838709673
84,20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.5433333333333334
85,20685,DOORMAT RED RETROSPOT,8.920155586987233
86,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.8638461538461537
87,20694,?,0.0
88,20694,FLORAL PINK MONSTER,5.078235294117647
89,20695,FLORAL BLUE MONSTER,4.25
90,20696,FLORAL SOFT CAR TOY,4.721999999999999
91,20697,LITTLE GREEN MONSTER SOFT TOY,2.5500000000000003
92,20698,LITTLE PINK MONSTER SOFT TOY,2.5500000000000003
93,20699,MOUSEY LONG LEGS SOFT TOY,3.0048780487804856
94,20700,?,0.0
95,20700,GREEN CAT FLORAL CUSHION COVER ,4.981111111111108
96,20701,PINK CAT FLORAL CUSHION COVER ,4.066666666666666
97,20702,PINK PADDED MOBILE,4.343953488372093
98,20703,BLUE PADDED SOFT MOBILE,4.25
99,20704,MR ROBOT SOFT TOY,5.872222222222218
100,20705,MRS ROBOT SOFT TOY,4.708620689655173
101,20707,CRAZY DAISY HEART DECORATION,1.0896666666666661
102,20711,JUMBO BAG TOYS ,3.1036090225563977
103,20711,check,0.0
104,20711,lost in space,0.0
105,20712,JUMBO BAG WOODLAND ANIMALS,2.916594533029614
106,20713,Found,0.0
107,20713,JUMBO BAG OWLS,2.7638038632986626
108,20713,Marked as 23343,0.0
109,20713,found,0.0
110,20713,wrongly coded 23343,0.0
111,20713,wrongly coded-23343,0.0
112,20713,wrongly marked 23343,0.0
113,20713,wrongly marked. 23343 in box,0.0
114,20716,PARTY FOOD SHOPPER BAG,1.3158108108108102
115,20717,STRAWBERRY SHOPPER BAG,1.6700000000000013
116,20718,RED RETROSPOT SHOPPER BAG,1.7705119453924927
117,20719,WOODLAND CHARLOTTE BAG,1.2008508158508275
118,20723,STRAWBERRY CHARLOTTE BAG,1.1939218328841086
119,20724,RED RETROSPOT CHARLOTTE BAG,1.1348314606741636
120,20725,LUNCH BAG RED RETROSPOT,2.113498168498227
121,20725,LUNCH BAG RED SPOTTY,1.45
122,20726,LUNCH BAG WOODLAND,2.1643732327992895
123,20727,LUNCH BAG  BLACK SKULL.,2.090429629629681
124,20728,LUNCH BAG CARS BLUE,2.0508187134503375
125,20731,POSY CANDY BAG,1.0925
126,20733,GOLD MINI TAPE MEASURE ,0.84531100478469
127,20734,SILVER MINI TAPE MEASURE ,1.7962962962962967
128,20735,BLACK MINI TAPE MEASURE ,1.1095575221238918
129,20748,Found,0.0
130,20748,KENSINGTON COFFEE SET,13.468235294117648
131,20749,ASSORTED COLOUR MINI CASES,8.06266497461925
132,20750,RED RETROSPOT MINI CASES,8.119641943733976
133,20751,FUNKY WASHING UP GLOVES ASSORTED,2.342444444444453
134,20751,check,0.0
135,20752,BLUE POLKADOT WASHING UP GLOVES,2.408881578947372
136,20752,check,0.0
137,20754,Found,0.0
138,20754,RETROSPOT RED WASHING UP GLOVES,2.510582524271856
139,20755,BLUE PAISLEY POCKET BOOK,0.9880952380952392
140,20756,GREEN FERN POCKET BOOK,0.85
141,20757,RED DAISY POCKET BOOK ,0.9150000000000005
142,20758,ABSTRACT CIRCLES POCKET BOOK,0.8500000000000006
143,20759,CHRYSANTHEMUM POCKET BOOK ,0.8499999999999999
144,20760,GARDEN PATH POCKET BOOK,0.85
145,20761,BLUE PAISLEY SKETCHBOOK,4.429393939393939
146,20762,GREEN FERN SKETCHBOOK ,4.153214285714286
147,20763,DAISY SKETCHBOOK ,3.982962962962963
148,20764,ABSTRACT CIRCLES SKETCHBOOK ,4.6578205128205115
149,20765,CHRYSANTHEMUM SKETCHBOOK ,4.239180327868853
150,20766,GARDEN PATH SKETCHBOOK,4.427499999999999
151,20767,BLUE PAISLEY JOURNAL ,2.8604878048780518
