,CustomerID,Country
,,
0,12346.0,United Kingdom
1,12347.0,Iceland
2,12348.0,Finland
3,12349.0,Italy
4,12350.0,Norway
5,12352.0,Norway
6,12353.0,Bahrain
7,12354.0,Spain
8,12355.0,Bahrain
9,12356.0,Portugal
10,12357.0,Switzerland
11,12358.0,Austria
12,12359.0,Cyprus
13,12360.0,Austria
14,12361.0,Belgium
15,12362.0,Belgium
16,12363.0,Unspecified
17,12364.0,Belgium
18,12365.0,Cyprus
19,12367.0,Denmark
20,12370.0,Austria
21,12370.0,Cyprus
22,12371.0,Switzerland
23,12372.0,Denmark
24,12373.0,Austria
25,12374.0,Austria
26,12375.0,Finland
27,12377.0,Switzerland
28,12378.0,Switzerland
29,12379.0,Belgium
30,12380.0,Belgium
31,12381.0,Norway
32,12383.0,Belgium
33,12384.0,Switzerland
34,12386.0,Australia
35,12388.0,Australia
36,12390.0,Belgium
37,12391.0,Cyprus
38,12393.0,Australia
39,12394.0,Belgium
40,12394.0,Denmark
41,12395.0,Belgium
42,12397.0,Belgium
43,12398.0,Switzerland
44,12399.0,Belgium
45,12401.0,Belgium
46,12402.0,Belgium
47,12403.0,Denmark
48,12405.0,Finland
49,12406.0,Denmark
50,12407.0,Belgium
51,12408.0,Belgium
52,12409.0,Switzerland
53,12410.0,Switzerland
54,12412.0,Denmark
55,12413.0,France
56,12414.0,Austria
57,12415.0,Australia
58,12417.0,Belgium
59,12417.0,Spain
60,12418.0,Switzerland
61,12420.0,Cyprus
62,12421.0,Spain
63,12422.0,Australia
64,12422.0,Switzerland
65,12423.0,Belgium
66,12424.0,Australia
67,12425.0,Portugal
68,12426.0,Germany
69,12427.0,Germany
70,12428.0,Finland
71,12429.0,Austria
72,12429.0,Denmark
73,12430.0,Norway
74,12431.0,Australia
75,12431.0,Belgium
76,12432.0,Norway
77,12433.0,Norway
78,12434.0,Australia
79,12435.0,Denmark
80,12436.0,Norway
81,12437.0,France
82,12438.0,Norway
83,12441.0,France
84,12442.0,Spain
85,12444.0,Norway
86,12445.0,Spain
87,12446.0,RSA
88,12447.0,Belgium
89,12448.0,Spain
90,12449.0,Belgium
91,12450.0,Spain
92,12451.0,Switzerland
93,12452.0,Switzerland
94,12453.0,Austria
95,12454.0,Spain
96,12455.0,Cyprus
97,12455.0,Spain
98,12456.0,Switzerland
99,12457.0,Cyprus
100,12457.0,Switzerland
101,12458.0,Switzerland
102,12461.0,Switzerland
103,12462.0,Spain
104,12463.0,Belgium
105,12464.0,Belgium
106,12465.0,Belgium
107,12468.0,Germany
108,12471.0,Germany
109,12472.0,Germany
110,12473.0,Germany
111,12474.0,Germany
112,12475.0,Germany
113,12476.0,Germany
114,12477.0,Germany
115,12478.0,Greece
116,12479.0,Germany
117,12480.0,Germany
118,12481.0,Germany
119,12483.0,Sweden
120,12484.0,Spain
121,12488.0,France
122,12489.0,France
123,12490.0,France
124,12491.0,France
125,12492.0,Germany
126,12493.0,France
127,12494.0,France
128,12497.0,Germany
129,12498.0,Germany
130,12500.0,Germany
131,12501.0,Germany
132,12502.0,Spain
133,12503.0,Spain
134,12504.0,Germany
135,12505.0,Italy
136,12506.0,France
137,12507.0,Spain
138,12508.0,France
139,12509.0,France
140,12510.0,Spain
141,12512.0,Israel
142,12513.0,France
143,12514.0,Italy
144,12515.0,Italy
145,12516.0,Germany
146,12517.0,Germany
147,12518.0,Germany
148,12519.0,Germany
149,12520.0,Germany
150,12521.0,Germany
151,12522.0,Germany
152,12523.0,France
153,12524.0,Germany
154,12526.0,Germany
155,12527.0,Germany
156,12528.0,Germany
157,12530.0,Germany
158,12531.0,Germany
159,12532.0,France
160,12534.0,Germany
161,12535.0,France
162,12536.0,France
163,12538.0,Spain
164,12539.0,Spain
165,12540.0,Spain
166,12541.0,Spain
167,12544.0,Spain
168,12545.0,Spain
169,12546.0,Spain
170,12547.0,Spain
171,12548.0,Spain
172,12550.0,Spain
173,12551.0,Spain
174,12552.0,Italy
175,12553.0,France
176,12556.0,Spain
177,12557.0,Spain
178,12558.0,USA
179,12559.0,Germany
180,12560.0,Germany
181,12561.0,Germany
182,12562.0,France
183,12564.0,France
184,12565.0,Saudi Arabia
185,12566.0,Germany
186,12567.0,France
187,12569.0,Germany
188,12571.0,France
189,12572.0,Germany
190,12573.0,France
191,12574.0,France
192,12576.0,Poland
193,12577.0,France
194,12578.0,Italy
195,12579.0,France
196,12580.0,Germany
197,12581.0,Germany
198,12582.0,Finland
199,12583.0,France
200,12584.0,Italy
201,12585.0,Germany
202,12586.0,Italy
203,12587.0,Finland
204,12588.0,Finland
205,12589.0,France
206,12590.0,Germany
207,12591.0,Italy
208,12592.0,Germany
209,12593.0,France
210,12594.0,Italy
211,12596.0,Spain
212,12597.0,Spain
213,12598.0,France
214,12599.0,France
215,12600.0,Germany
216,12601.0,Germany
217,12602.0,France
218,12603.0,Germany
219,12604.0,France
220,12605.0,Germany
221,12607.0,USA
222,12609.0,Germany
223,12610.0,Italy
224,12611.0,Italy
225,12612.0,Germany
226,12613.0,Germany
227,12614.0,Germany
228,12615.0,France
229,12616.0,France
230,12617.0,France
231,12618.0,Italy
232,12619.0,Germany
233,12620.0,France
234,12621.0,Germany
235,12622.0,Germany
236,12623.0,Germany
237,12624.0,France
